,DBA,BORO,Latitude,Longitude,Census Tract
35070,GRIZZLY GROUNDS,Bronx,40.850555961413,-73.882451432726,33400.0
35172,GRAN CAFFE DE MARTINI,Brooklyn,40.679094630876996,-73.968330832582,20500.0
35221,A CAFE,Manhattan,40.764354274867,-73.975188764417,11201.0
35454,SUMMERS,Manhattan,40.727648512373,-74.000335540378,6500.0
35492,CATHERINE BAKERY,Queens,40.781448797836,-73.84141334576,91900.0
35570,TWISTERS CAFE,Queens,40.767551054353,-73.91199943034701,14300.0
35765,SOLFIRE,Brooklyn,40.718562651153995,-73.954773180419,51900.0
35864,PURPLE DOUGH,Queens,40.746891963273,-73.896425077029,26300.0
35918,ANCHOR COFFEE,Brooklyn,40.684183701887996,-73.941171021252,27500.0
36052,INWOOD BAGELS,Manhattan,40.868139090195,-73.921512263379,29500.0
36091,CAFE 11-11,Brooklyn,40.70766356602,-73.955783315079,52900.0
36103,FRISSON ESPRESSO,Manhattan,40.730398267474996,-73.989283911772,4200.0
36594,JILL LINDSEY,Brooklyn,40.693178876739005,-73.97140732297599,18300.0
36735,BUSHWICK GRIND COFFEE HOUSE,Brooklyn,40.701534994375,-73.944333015205,50700.0
36828,BIG APPLE CAFE,Manhattan,40.798831763305,-73.966865033869,18900.0
37253,WANG LAO JI HERBAL TEA,Manhattan,40.718802053007,-73.99581893032,4100.0
37278,Frisson Espresso,Manhattan,40.760793677938,-73.988430708295,12700.0
37298,RE-DE-FINED,Brooklyn,40.61686985443,-73.944987409667,74600.0
37330,ATLANTIC THEATER (van Beuren Kass Bar),Manhattan,40.7438975121,-74.001010476432,8900.0
37478,HEX & COMPANY,Manhattan,40.805160892972005,-73.965980499331,19900.0
37554,WORD UP CAFE,Brooklyn,40.661229633988,-73.89265507823,112800.0
37935,A CREPE,Queens,40.754418104812004,-73.827881250044,85300.0
38089,CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER,Manhattan,40.756556290303,-74.003808057183,9900.0
38101,WATTLE CAFE,Manhattan,40.729470302708,-73.987018199831,4000.0
38437,Kabisera,Manhattan,40.720755930859,-73.98958489781499,3601.0
38528,HUI TEA,Manhattan,40.718066531415,-74.000050504165,3100.0
38856,SPOTIFY - BARISTA BAR,Manhattan,40.710504009675,-74.012523606424,1300.0
38893,MANHATTANVILLE COFFEE,Brooklyn,40.671648323028,-73.953103593308,31702.0
38934,PEP BAKERY CAFE,Brooklyn,40.617778497392,-74.033365322226,5400.0
38953,ALUMNI,Queens,40.762854106809996,-73.83249806444,86900.0
39250,FURMAN'S COFFEE,Brooklyn,40.678755829996,-73.949651903194,24700.0
39359,NYU COLLEGE OF NURSING CAFE,Manhattan,40.738386561849,-73.977453812104,6600.0
39366,BON APPETIT,Manhattan,40.74105943155,-73.999682435273,8100.0
39562,GONG CHA SKYVIEW LLC,Queens,40.757443692308,-73.834053016327,87100.0
39572,LE LABO CAFE,Brooklyn,40.718174761948,-73.95978779550201,55500.0
39585,HOUSE OF KAVA,Brooklyn,40.697389673124,-73.923971610463,42100.0
