,DBA,BORO,Latitude,Longitude,Census Tract
61216,NEW MEXICO PLACE,Brooklyn,40.708541943850996,-73.943410982534,50500.0
62477,BLACK ANT,Manhattan,40.725820034169004,-73.989677907724,3800.0
62817,NY PIZZA CAFE & SPANISH FOOD RESTAURANT,Brooklyn,40.699001139199,-73.916490079119,43300.0
62925,EL ESPINO RESTAURANT,Brooklyn,40.641829084685,-74.017378729524,7400.0
63355,ANGEL'S CUISINE,Bronx,40.80852340215,-73.921539487297,2500.0
64050,MARGHERITA'S MEXICAN CUISINE,Bronx,40.822031047547,-73.907779267824,18500.0
64094,CHIPOTLE MEXICAN GRILL #2254,Brooklyn,40.671252310177,-73.977927206096,15500.0
64241,MI BELLA CHOLULITA DELI & RESTAURANT,Brooklyn,40.698119613997996,-73.93730348042,28700.0
64350,TORTAS MORELOS,Brooklyn,40.635912311744,-74.026590008197,6800.0
65441,HOTEL TORTUGA,Manhattan,40.732827044833996,-73.986115482704,4000.0
65462,CATRINAS MEXICAN GRILL AND FOOD COURT,Brooklyn,40.686433452573,-73.95077106939,25100.0
65488,LOS POTRILLOS RESTAURANT,Staten Island,40.637725940867,-74.13356263896999,20700.0
66488,PAPASITO MEXICAN GRILL,Manhattan,40.865727653867005,-73.927487897891,29500.0
68926,EL BUFFALITO GRILL,Brooklyn,40.627527291107,-73.996599213873,19200.0
69227,LA PRINCESA DEL RODEO,Bronx,40.827706149128,-73.879933660533,5002.0
69353,DONA ZITA MEXICAN FOOD,Brooklyn,40.574790057416,-73.980273795515,35200.0
69790,BARRIO CHINO,Manhattan,40.718030410967,-73.989971321275,1800.0
70268,COMPADRES 77 MEXICAN RESTAURANT,Queens,40.716296489697,-73.833795124058,76902.0
70936,LA PALAPA TACOS,Manhattan,40.75450075314,-73.975950427165,9200.0
71352,SAVOR POR FAVOR,Manhattan,40.729547152462004,-73.986985712224,4000.0
71695,NOCHE MEXICANA II,Manhattan,40.79738833218,-73.96794567005,18700.0
72912,MEZCALS RESTAURANT,Brooklyn,40.675861310029,-73.980817004063,13300.0
73685,CHOZA TAQUERIA,Manhattan,40.750993456113,-73.978503424145,8200.0
73868,MI TAQUERIA TOLTE RESTAURANT,Queens,40.742429211156995,-73.872163078491,46100.0
75722,PASIONES SPORTS-BAR,Queens,40.746008013692006,-73.896274880198,26300.0
76193,FACTORY TAMAL,Manhattan,40.71593894007,-73.990469447998,1600.0
77396,S.R. DELI GROCERY,Queens,40.743372968948,-73.874247158419,46300.0
77880,CHIPTOLE MEXICAN GRILL #2407,Brooklyn,40.608144835665,-73.959760687969,55400.0
78014,NOCHES DE PALENQUE,Bronx,40.812393262667996,-73.90324444204799,8300.0
78072,141 EL KUCHO MEXICAN RESTAURANT,Brooklyn,40.700621318968004,-73.925569194185,42900.0
79536,Mama Lupita's Bistro,Brooklyn,40.655815023215,-74.002865228599,8400.0
79753,BODEGA NEGRA,Manhattan,40.741726367976,-74.003081852298,8300.0
81189,EL VEZ,Manhattan,40.714549408191,-74.01570235609,31703.0
81466,TAQUERIA EL FOGON 2,Brooklyn,40.703499810403,-73.933226493031,48500.0
81715,CHELA & GARNACHA,Queens,40.755756986092,-73.92797984994199,5700.0
81741,TAQUITOS MEXICO RESTAURANT,Brooklyn,40.623300372334,-74.000734868925,19600.0
81892,TAQUERIA EL GALLO AZTECA,Staten Island,40.638287344951,-74.078637904195,1100.0
82287,CHIPOTLE MEXICAN GRILL #2879,Brooklyn,40.677012381265,-73.972330004501,16300.0
82841,Jajaja,Brooklyn,40.716792178083,-73.962075706378,55500.0
83424,NUEVOS TACOS AL SUADERO,Queens,40.749283854756996,-73.868165382003,40900.0
85044,TACOMBI FORT GREENE,Brooklyn,40.686845392213,-73.977990533712,3300.0
85618,LA PALAPA,Manhattan,40.727837030651,-73.9858639684,3800.0
85976,HO'BRAH A TACO JOINT,Staten Island,40.630848694513,-74.103203187655,5900.0
86184,C. XIQUE CAFE,Brooklyn,40.650873900996,-74.011272665106,200.0
87344,TAQUERIA EL MEZCAL,Brooklyn,40.652501936895,-74.006299584804,8400.0
88364,LA RAZA DELI,Brooklyn,40.690841035793,-73.869547075877,118202.0
88381,VIDA VERDE,Manhattan,40.764995206432,-73.982866977914,13700.0
88714,EL MARIACHI HOLDING,Queens,40.761142121479004,-73.92360616639499,6100.0
88728,TACOS ALSUADERO,Queens,40.750518482225,-73.863037852834,40700.0
89583,THE NEW PORTALES TAQUERIA,Queens,40.763296986964995,-73.928213528694,5300.0
89890,JOPHSUA 19,Queens,40.702351872653,-73.818545279029,14202.0
90214,TACOS EL BRONQUITO RESTAURANT,Brooklyn,40.64899391169,-74.009200223764,8000.0
90644,HELL'S KITCHEN,Manhattan,40.763859595575,-73.98866120921299,13300.0
91873,TACOSSSSSSS,Brooklyn,40.684207620456,-73.870173055804,118400.0
