,DBA,BORO,Latitude,Longitude,Census Tract
77285,BARTOLINO'S FINE ITALIAN PIZZA,Queens,40.760765558349,-73.92281245204,6100.0
77657,SURF CITY,Brooklyn,40.575346640986,-73.977012300002,35000.0
77765,RAY'S PIZZA RESTUARANT,Bronx,40.80696454257,-73.917838746424,3900.0
77823,L'ARTE DELLA PIZZA BROOKLYN,Brooklyn,40.677494264871996,-73.97973135611,13100.0
78045,MIA PIZZA,Queens,40.779130655098,-73.914941283018,10300.0
78393,FRANKS PIZZA,Brooklyn,40.635668294637,-73.913038729221,95400.0
78534,AVE D PIZZERIA,Manhattan,40.72049909919,-73.978361779795,2202.0
79092,AENOS PIZZA,Bronx,40.836564430204,-73.889122199221,15500.0
80120,SOTTO LE STELLE,Queens,40.743353870705,-73.920375098351,18300.0
80363,MY PIE PIZZERIA,Manhattan,40.77821635677,-73.98073685392299,15700.0
81097,KESTE PIZZA & VINO,Manhattan,40.731502120293996,-74.003153541023,6700.0
81264,FAMOUS 99 C PIZZA,Manhattan,40.721057686472,-73.987867631494,3001.0
81323,BAYRIDGE PIZZA,Brooklyn,40.627837872178,-74.023322873405,13600.0
81557,CESTRAS PIZZA III,Bronx,40.842212871263,-73.844014727386,20000.0
83420,RICHMOND FAMILY PIZZA,Staten Island,40.60090383777,-74.092681158388,5000.0
83530,EMILIO'S GOURMET PIZZA & PASTA,Bronx,40.848874442277996,-73.85454635252401,25400.0
83603,3 LUIGI'S PIZZA,Brooklyn,40.688123259564,-73.962741121417,23100.0
84032,KOSHER PIZZA TIME,Brooklyn,40.624996147493,-73.962949412301,53400.0
84937,PEPO'S PIZZA,Manhattan,40.819088271128,-73.952106895775,22301.0
85674,SAINT GIOVANNI,Brooklyn,40.622574962476,-74.028450644841,6000.0
85958,SAPORITO PIZZA & RESTAURANT,Staten Island,40.532530818404005,-74.192100650033,20804.0
86041,ARCHIES,Brooklyn,40.699912226274,-73.928401056449,42300.0
86432,PERCY'S PIZZA,Manhattan,40.729254192244,-74.001403530797,6500.0
86791,BARI'S PIZZA,Brooklyn,40.622275755923,-74.028551379625,16000.0
87424,GROTTO AZZURA PIZZERIA,Brooklyn,40.603757417008,-73.99553446222299,29000.0
87915,JOJO PIZZA #2,Bronx,40.844802637667996,-73.882103818554,36300.0
88456,R & T PIZZA,Manhattan,40.841801111011,-73.93551225244501,25300.0
88929,EL COQUI BILLIARD LOUNGE,Queens,40.699630562949,-73.910372764231,54900.0
89064,ALBA'S PIZZA,Queens,40.774198457282,-73.907990183943,11700.0
89597,PROSPECT PIZZA,Brooklyn,40.658717718253,-73.9605049717,79801.0
89940,NEW TIMES SQUARE PIZZA,Manhattan,40.755224622585004,-73.989048897009,11300.0
89968,HELL'S KITCHEN PIZZA,Manhattan,40.762042689187005,-73.989986327827,12700.0
90052,CASA THEODORO,Queens,40.75699909189,-73.907111643617,29500.0
90185,CURRY ON PIZZA,Queens,0.0,0.0,
90700,LODUCA PIZZA,Brooklyn,40.635003562635,-73.96274927632399,52000.0
91567,LITTLE FRANKIES PIZZERIA,Queens,40.695699018447,-73.747704510988,53200.0
