title,director,country,spine,url,img,year
The Devil’s Backbone,Guillermo del Toro,Mexico,666,https://www.criterion.com/films/27914-the-devil-s-backbone,https://s3.amazonaws.com/criterion-production/films/2d2ca1ee563de89f50f5cbe2712903ec/8L4xcUeNLUCM7wiQxbxB9gT5w1Nlf4_thumbnail.jpg,1960
The Devil’s Eye,Ingmar Bergman,Sweden,,https://www.criterion.com/films/28193-the-devil-s-eye,https://s3.amazonaws.com/criterion-production/films/2b90161ea5506de4d1960e99dc7218d6/eNPsJqxJmUlYIXJFxdeZzgjXavDdbf_thumbnail.jpg,2015
Dheepan,Jacques Audiard,France,871,https://www.criterion.com/films/29103-dheepan,https://s3.amazonaws.com/criterion-production/films/8d1c34bd6af4fa432ec28aebc0ad55d6/FMt4h5XnG7oyewPgkLZPxdrXDUPq0v_thumbnail.jpg,1955
Diabolique,Henri-Georges Clouzot,France,35,https://www.criterion.com/films/575-diabolique,https://s3.amazonaws.com/criterion-production/films/8ad483e8370aa256e8c9ca948661a23f/9hcuAM2tFd0symu9gCWBOnJWhVBXKJ_thumbnail.jpg,1964
Diamonds of the Night,Jan Němec,Czechoslovakia,969,https://www.criterion.com/films/29375-diamonds-of-the-night,https://s3.amazonaws.com/criterion-production/films/846782a86f974677f8cc1565cd78d567/JXbgXFlzpc3Icnzi3hvX8Ftsto3q0Q_thumbnail.jpg,1964
Diary of a Chambermaid,Luis Buñuel,France,117,https://www.criterion.com/films/656-diary-of-a-chambermaid,https://s3.amazonaws.com/criterion-production/films/72cae6c4314633b132ea3344963cbb28/55oQcXOOXFWiiCcbKksF9JdYBABk2U_thumbnail.jpg,1951
Diary of a Country Priest,Robert Bresson,France,222,https://www.criterion.com/films/452-diary-of-a-country-priest,https://s3.amazonaws.com/criterion-production/films/38f25eb744529ce7b5eab16928217c66/ybtLbvWGrpo9prC4syVXEPuX43ewCS_thumbnail.jpg,
Dietrich & von Sternberg in Hollywood,,,930,https://www.criterion.com/boxsets/1329-dietrich-von-sternberg-in-hollywood,https://s3.amazonaws.com/criterion-production/product_images/1913-aa161a0f125c18e184c759f4e6fa4d86/ne8EBMDiHqGQ5vJDvaBUV6wzuwbT3d_small.jpg,1969
Dillinger Is Dead,Marco Ferreri,Italy,506,https://www.criterion.com/films/21641-dillinger-is-dead,https://s3.amazonaws.com/criterion-production/films/898808a9204021a47c57b59173c72e75/ttGzJdB52PJ2tfhbXB89WxPhDBytPI_thumbnail.jpg,1972
The Discreet Charm of the Bourgeoisie,Luis Buñuel,France,102,https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie,https://s3.amazonaws.com/criterion-production/films/91d6dc601b3fd98336aa683417cda465/zdWqVPqt71iW1vNguNzaFoTm6EZEoA_thumbnail.jpg,1931
Dishonored,Josef von Sternberg,United States,932,https://www.criterion.com/films/28984-dishonored,https://s3.amazonaws.com/criterion-production/films/62fd36c599e894f60c25a44052304d61/FO1hvmgGePizWAhRc15lV7B3YQBZW7_thumbnail.jpg,1961
Divorce Italian Style,Pietro Germi,Italy,286,https://www.criterion.com/films/877-divorce-italian-style,https://s3.amazonaws.com/criterion-production/films/1fe503bed44263b70f7636796068ff8a/hTb7NjbnH3PFkEGB3AeotNhiyR4Wrg_thumbnail.jpg,1928
The Docks of New York,Josef von Sternberg,United States,531,https://www.criterion.com/films/1942-the-docks-of-new-york,https://s3.amazonaws.com/criterion-production/films/c95ef17d3f5b91ddf79776a8ae82423d/5CUoTbddFmMGGKxJr3F6e9FZpX9Nor_thumbnail.jpg,1981
Documenteur,Agnès Varda,France,,https://www.criterion.com/films/28630-documenteur,https://s3.amazonaws.com/criterion-production/films/82e656ba8eb86c4bcba257b1cc5057d6/Lj5JMUR6heMs7TFAOzSW3cDceCRj6s_thumbnail.jpg,1970
Dodes’ka-den,Akira Kurosawa,Japan,465,https://www.criterion.com/films/1083-dodes-ka-den,https://s3.amazonaws.com/criterion-production/films/6bd0c9b65e7ea198e3eaa2f8155f8936/pFvySgxCKaSto7o69vmvh6Goar0cc9_thumbnail.jpg,1960
La dolce vita,Federico Fellini,Italy,733,https://www.criterion.com/films/28619-la-dolce-vita,https://s3.amazonaws.com/criterion-production/films/41271853307b3fb10334a7d2b51e41ce/pDxTYardFcKk8EIL1qgmAJ96A9zCTn_thumbnail.jpg,1938
