title,director,country,spine,url,img,year
2 or 3 Things I Know About Her,Jean-Luc Godard,France,482,https://www.criterion.com/films/1333-2-or-3-things-i-know-about-her,https://s3.amazonaws.com/criterion-production/films/2d01c1355a26b42297d80a960899c4f5/93Btri2IgKEjkVfyjMctarS9VtARHo_thumbnail.jpg,1957
3:10 to Yuma,Delmer Daves,United States,657,https://www.criterion.com/films/27910-3-10-to-yuma,https://s3.amazonaws.com/criterion-production/films/ab1d9b806f1efe28878526241f632b9a/Zm61wXSmEUBWzzoMzmJOGYPvQ8Cg5v_thumbnail.jpg,
3 Films by Louis Malle,,,327,https://www.criterion.com/boxsets/397-3-films-by-louis-malle,https://s3.amazonaws.com/criterion-production/product_images/1877-48de0a1fa166375e5c29008f57be3a14/rbztsW1GKvPEC5vTna3sbQdpYeG9Ro_small.jpg,
3 Films by Roberto Rossellini Starring Ingrid Bergman,,,672,https://www.criterion.com/boxsets/982-3-films-by-roberto-rossellini-starring-ingrid-bergman,https://s3.amazonaws.com/criterion-production/product_images/1832-5224e9ac2c95fb1ffa85d5fd11ddef38/6gMrpMnUAzE3BYCL3Zs6wRKUzyNZLM_small.jpg,
3 Silent Classics by Josef von Sternberg,,,528,https://www.criterion.com/boxsets/744-3-silent-classics-by-josef-von-sternberg,https://s3.amazonaws.com/criterion-production/product_images/1844-c9cb634fa3b22393408e64804c4b045c/u8zW5OazrYxQD3wNBZLu8H9zaj8mTx_small.jpg,1977
3 Women,Robert Altman,United States,230,https://www.criterion.com/films/712-3-women,https://s3.amazonaws.com/criterion-production/films/75466150cfc0b49b10f051e0c239f3fc/1rrp8R9m37AAxe9ctq9TFKwyYOQ8jW_thumbnail.jpg,
4 by Agnès Varda,,,418,https://www.criterion.com/boxsets/8-4-by-agn-s-varda,https://s3.amazonaws.com/criterion-production/product_images/1856-70cb6699a8cee4d1285949a3f86c813d/NxYyVlcajs0ng5eCLjUz0H5LgGSk7Z_small.jpg,2007
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Romania,958,https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days,https://s3.amazonaws.com/criterion-production/films/65395fe8adf90ac719ea54fb460176fa/l2Q2n24ks84HZnVyuZvxqzIJk55lgR_thumbnail.jpg,1963
8½,Federico Fellini,Italy,140,https://www.criterion.com/films/150-8-1-2,https://s3.amazonaws.com/criterion-production/films/2ae55be0d1938dcd30082006b5108053/EBSPG1J9ip2HjvJtUmzlDGLM9EtTFX_thumbnail.jpg,1957
12 Angry Men,Sidney Lumet,United States,591,https://www.criterion.com/films/27871-12-angry-men,https://s3.amazonaws.com/criterion-production/films/b64d8d6785c12ae24b029f8b625c3c1a/PMLyOniHrRG3nyansZSwJxghltbxsC_thumbnail.jpg,2017
24 Frames,Abbas Kiarostami,Iran,956,https://www.criterion.com/films/29399-24-frames,https://s3.amazonaws.com/criterion-production/films/22cc8506c3dcd5e77e2d68c09b5f288b/lbWguDGRXPyIVW9oJ1BLa2f1GSAG10_thumbnail.jpg,1935
The 39 Steps,Alfred Hitchcock,United Kingdom,56,https://www.criterion.com/films/234-the-39-steps,https://s3.amazonaws.com/criterion-production/films/aacbf709cba74e607ae657b7ea6ff1cf/2jsGvFmN8GvcK82SeP32fOu0YpUx1i_thumbnail.jpg,2015
45 Years,Andrew Haigh,United Kingdom,861,https://www.criterion.com/films/28908-45-years,https://s3.amazonaws.com/criterion-production/films/30b643cfea431b3b50606249f145a888/RFDmoYxUdM1EcSWfagb3bhMvnINOWF_thumbnail.jpg,1941
49th Parallel,Michael Powell,United Kingdom,376,https://www.criterion.com/films/520-49th-parallel,https://s3.amazonaws.com/criterion-production/films/da2032b3d3115969152fd4f442094cbd/yunzkLos81PnuwixO24PC6ZH8Nc4vM_thumbnail.jpg,0
100 Years of Olympic Films: 1912–2012,,,900,https://www.criterion.com/films/29360-100-years-of-olympic-films-1912-2012,https://s3.amazonaws.com/criterion-production/films/51412a295670524ffce1299968c379fd/Okb9pCnEQmV0faxMB7JmLrUTJQrvxx_thumbnail.jpg,1959
