title,year,director,pan,tilt,pan_w_tilt,track,tr_w_pan,tr_w_pan_n_tilt,crane,zoom,total
10 Things I Hate About You,1999,Gil Junger,12,3,6,20,32,18,10,1,102
An Almost Perfect Affair,1979,Michael Ritchie,41,6,6,15,52,2,2,1,122
The Amityville horror,1979,Stuart Rosenberg,43,13,16,16,16,2,18,4,106
Angela's Ashes,1999,Alan Parker,21,3,14,9,4,1,0,1,53
Annie Hall,1977,Woody Allen,35,4,5,27,35,0,0,0,106
Another Thin Man,1939,W.S. Van Dyke,41,6,6,15,52,2,,,122
The Arsenal Stadium Mystery,1939,Thorold Dickinson,4,35,14,6,7,0,,0,121
At the Circus,1939,Edward Bussell,43,13,16,16,16,2,,,106
Back Street,1941,Robert Stevenson,13,0,6,12,19,5,2,0,57
The Sea Monster Behemoth,1959,Eugene Lourié,20,7,14,23,8,1,0,1,74
Ben-Hur,1959,William Wyler,24,12,14,55,12,3,4,0,123
The Best of Everything,1959,Jean Negulesco,54,7,18,21,45,11,0,0,156
The Black Stallion,1979,Carroll Ballard,49,0,19,32,47,0,1,0,147
The Blair Witch Project,1999,D & Sanchez E. Myrick,12,12,79,24,15,137,0,31,310
Blind Alley,1939,Charles Vidor,49,0,19,32,47,,,,147
Broadway Danny Rose,1984,Woody Allen,61,0,16,12,28,2,6,5,130
Brokedown Palace,1999,Jonathan Kaplan,20,2,23,19,15,15,10,0,104
The Cat and the Canary,1939,Nugent Elliott,59,4,18,24,39,,,,144
Caught,1949,Max Ophuls,23,2,12,30,65,25,0,0,157
The Champ,1979,Franco Zeffirelli,59,4,18,24,39,0,16,10,144
Compulsion,1959,Richard Fleischer,19,4,3,17,19,10,5,0,77
Crazy in Alabama,1999,Antonio Banderas,16,6,12,27,21,7,6,0,93
Cuba,1979,Richard Lester,47,4,20,22,33,0,6,2,127
Darby O'Gill and the Little People,1959,Robert Stevenson,24,4,9,5,2,1,0,0,44
Dark City,1998,Alex Proyas,15,10,11,22,1,6,35,0,100
De Mayerling à Sarajevo,1940,Max Ophuls,48,4,4,18,15,4,2,0,95
Deep Blue Sea,1999,Renny Harlin,14,7,8,27,9,7,2,0,74
Destry Rides Again,1939,George Marshall,47,4,20,22,33,1,,,127
Detroit Rock City,1999,Adam Rifkin,14,8,15,27,10,13,2,7,96
Dracula,1979,John Badham,50,7,44,28,31,0,2,1,160
Driller Killer,1979,Abel Ferrara,55,1,3,6,3,0,14,3,68
Each Dawn I Die,1939,William Keighley,50,7,44,28,31,,,,160
EDtv,1999,Ron Howard,15,3,11,29,9,11,3,5,86
The Exile,1948,Max Ophuls,29,1,17,19,37,22,17,0,142
The Five Pennies,1959,Melville Shavelson,28,4,11,30,34,8,4,2,120
The Four Skulls of Jonathan Drake,1959,Edward L. Cahn,43,3,12,25,15,3,3,3,108
